,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
2010,Margaret S. Chin,Rosie Mendez ,Christine Quinn,Daniel Garodnick,Jessica Lappin,Gale Brewer,Robert Jackson,Melissa Mark-Viverito,Inez Dickens,Ydanis Rodriguez ,Oliver Koppell,Larry Seabrook,James Vacca,Fernando Cabrera,Joel Rivera,Helen Foster,Maria del Carmen Arroyo,Annabel Palma,Dan Halloran,Peter Koo,Julissa Ferreras,Peter Vallone Jr.,Mark Weprin,James F. Gennaro,Daniel Dromm ,Jimmy Van Bramer,Leroy Comrie ,SPLIT,Karen Koslowitz,Elizabeth Crowley,James Sanders Jr.,Eric Ulrich,Stephen Levin,Diana Reyna,Letitia James,Albert Vann ,Erik Martin Dilan,Sara M. Gonzalez,Brad Lander ,Mathieu Eugene,Darlene Mealy,Charles Barron ,Vincent Gentile,SPLIT,Jumaane Williams ,Lewis A. Fidler ,Domenic Recchia,Michael Chaim Nelson,Debi Rose,James Oddo,Vincent M. Ignizio
2011,Margaret S. Chin,Rosie Mendez ,Christine Quinn,Daniel Garodnick,Jessica Lappin,Gale Brewer,Robert Jackson,Melissa Mark-Viverito,Inez Dickens,Ydanis Rodriguez ,Oliver Koppell,Larry Seabrook,James Vacca,Fernando Cabrera,Joel Rivera,Helen Foster,Maria del Carmen Arroyo,Annabel Palma,Dan Halloran,Peter Koo,Julissa Ferreras,Peter Vallone Jr.,Mark Weprin,James F. Gennaro,Daniel Dromm ,Jimmy Van Bramer,Leroy Comrie ,Ruben Wills ,Karen Koslowitz,Elizabeth Crowley,James Sanders Jr.,Eric Ulrich,Stephen Levin,Diana Reyna,Letitia James,Albert Vann ,Erik Martin Dilan,Sara M. Gonzalez,Brad Lander ,Mathieu Eugene,Darlene Mealy,Charles Barron ,Vincent Gentile,David G. Greenfield,Jumaane Williams ,Lewis A. Fidler ,Domenic Recchia,Michael Chaim Nelson,Debi Rose,James Oddo,Vincent M. Ignizio
2012,Margaret S. Chin,Rosie Mendez ,Christine Quinn,Daniel Garodnick,Jessica Lappin,Gale Brewer,Robert Jackson,Melissa Mark-Viverito,Inez Dickens,Ydanis Rodriguez ,Oliver Koppell,SPLIT,James Vacca,Fernando Cabrera,Joel Rivera,Helen Foster,Maria del Carmen Arroyo,Annabel Palma,Dan Halloran,Peter Koo,Julissa Ferreras,Peter Vallone Jr.,Mark Weprin,James F. Gennaro,Daniel Dromm ,Jimmy Van Bramer,Leroy Comrie ,Ruben Wills ,Karen Koslowitz,Elizabeth Crowley,James Sanders Jr.,Eric Ulrich,Stephen Levin,Diana Reyna,Letitia James,Albert Vann ,Erik Martin Dilan,Sara M. Gonzalez,Brad Lander ,Mathieu Eugene,Darlene Mealy,Charles Barron ,Vincent Gentile,David G. Greenfield,Jumaane Williams ,Lewis A. Fidler ,Domenic Recchia,Michael Chaim Nelson,Debi Rose,James Oddo,Vincent M. Ignizio
2013,Margaret S. Chin,Rosie Mendez ,Christine Quinn,Daniel Garodnick,Jessica Lappin,Gale Brewer,Robert Jackson,Melissa Mark-Viverito,Inez Dickens,Ydanis Rodriguez ,Oliver Koppell,Andy King,James Vacca,Fernando Cabrera,Joel Rivera,Helen Foster,Maria del Carmen Arroyo,Annabel Palma,Dan Halloran,Peter Koo,Julissa Ferreras,Peter Vallone Jr.,Mark Weprin,James F. Gennaro,Daniel Dromm ,Jimmy Van Bramer,Leroy Comrie ,Ruben Wills ,Karen Koslowitz,Elizabeth Crowley,SPLIT,Eric Ulrich,Stephen Levin,Diana Reyna,Letitia James,Albert Vann ,Erik Martin Dilan,Sara M. Gonzalez,Brad Lander ,Mathieu Eugene,Darlene Mealy,Charles Barron ,Vincent Gentile,David G. Greenfield,Jumaane Williams ,Lewis A. Fidler ,Domenic Recchia,Michael Chaim Nelson,Debi Rose,James Oddo,Vincent M. Ignizio
2014,Margaret S. Chin,Rosie Mendez ,Corey Johnson,Daniel Garodnick,Benjamin Kallos,Helen Rosenthal,Mark D. Levine,Melissa Mark-Viverito,Inez Dickens,Ydanis Rodriguez ,Andrew Cohen,Andy King,James Vacca,Fernando Cabrera,Ritchie Torres,Vanessa Gibson,Maria del Carmen Arroyo,Annabel Palma,Paul Vallone,Peter Koo,Julissa Ferreras,Costa Constantinides,Mark Weprin,Rory Lancman,Daniel Dromm ,Jimmy Van Bramer,Daneek Miller,Ruben Wills ,Karen Koslowitz,Elizabeth Crowley,Donovan Richards,Eric Ulrich,Stephen Levin,Antonio Reynoso,Laurie Cumbo,Robert Cornegy,Rafael Espinal,Carlos Menchaca,Brad Lander ,Mathieu Eugene,Darlene Mealy,Inez Barron,Vincent Gentile,David G. Greenfield,Jumaane Williams ,Alan Maisel,	Mark Treyger,Chaim Deutsch,Debi Rose,	Steven Matteo,Vincent M. Ignizio
2015,Margaret S. Chin,Rosie Mendez ,Corey Johnson,Daniel Garodnick,Benjamin Kallos,Helen Rosenthal,Mark D. Levine,Melissa Mark-Viverito,Inez Dickens,Ydanis Rodriguez ,Andrew Cohen,Andy King,James Vacca,Fernando Cabrera,Ritchie Torres,Vanessa Gibson,Maria del Carmen Arroyo,Annabel Palma,Paul Vallone,Peter Koo,Julissa Ferreras,Costa Constantinides,SPLIT,Rory Lancman,Daniel Dromm ,Jimmy Van Bramer,Daneek Miller,Ruben Wills ,Karen Koslowitz,Elizabeth Crowley,Donovan Richards,Eric Ulrich,Stephen Levin,Antonio Reynoso,Laurie Cumbo,Robert Cornegy,Rafael Espinal,Carlos Menchaca,Brad Lander ,Mathieu Eugene,Darlene Mealy,Inez Barron,Vincent Gentile,David G. Greenfield,Jumaane Williams ,Alan Maisel,	Mark Treyger,Chaim Deutsch,Debi Rose,	Steven Matteo,SPLIT
2016,Margaret S. Chin,Rosie Mendez ,Corey Johnson,Daniel Garodnick,Benjamin Kallos,Helen Rosenthal,Mark D. Levine,Melissa Mark-Viverito,Inez Dickens,Ydanis Rodriguez ,Andrew Cohen,Andy King,James Vacca,Fernando Cabrera,Ritchie Torres,Vanessa Gibson,SPLIT,Annabel Palma,Paul Vallone,Peter Koo,Julissa Ferreras,Costa Constantinides,Barry Grodenchik,Rory Lancman,Daniel Dromm ,Jimmy Van Bramer,Daneek Miller,Ruben Wills ,Karen Koslowitz,Elizabeth Crowley,Donovan Richards,Eric Ulrich,Stephen Levin,Antonio Reynoso,Laurie Cumbo,Robert Cornegy,Rafael Espinal,Carlos Menchaca,Brad Lander ,Mathieu Eugene,Darlene Mealy,Inez Barron,Vincent Gentile,David G. Greenfield,Jumaane Williams ,Alan Maisel,	Mark Treyger,Chaim Deutsch,Debi Rose,	Steven Matteo,Joe Borelli
2017,Margaret S. Chin,Rosie Mendez ,Corey Johnson,Daniel Garodnick,Benjamin Kallos,Helen Rosenthal,Mark D. Levine,Melissa Mark-Viverito,SPLIT,Ydanis Rodriguez ,Andrew Cohen,Andy King,James Vacca,Fernando Cabrera,Ritchie Torres,Vanessa Gibson,Rafael Salamanca,Annabel Palma,Paul Vallone,Peter Koo,Julissa Ferreras,Costa Constantinides,Barry Grodenchik,Rory Lancman,Daniel Dromm ,Jimmy Van Bramer,Daneek Miller,SPLIT,Karen Koslowitz,Elizabeth Crowley,Donovan Richards,Eric Ulrich,Stephen Levin,Antonio Reynoso,Laurie Cumbo,Robert Cornegy,Rafael Espinal,Carlos Menchaca,Brad Lander ,Mathieu Eugene,Darlene Mealy,Inez Barron,Vincent Gentile,David G. Greenfield,Jumaane Williams ,Alan Maisel,	Mark Treyger,Chaim Deutsch,Debi Rose,	Steven Matteo,Joe Borelli
2018,Margaret S. Chin,Carlina Rivera,Corey Johnson,Keith Powers,Benjamin Kallos,Helen Rosenthal,Mark D. Levine,Diana Ayala,Bill Perkins,Ydanis Rodriguez ,Andrew Cohen,Andy King,Mark Gjonaj,Fernando Cabrera,Ritchie Torres,Vanessa Gibson,Rafael Salamanca,Rubén Díaz Sr.,Paul Vallone,Peter Koo,Francisco Moya,Costa Constantinides,Barry Grodenchik,Rory Lancman,Daniel Dromm ,Jimmy Van Bramer,Daneek Miller,Adrienne Adams,Karen Koslowitz,Robert Holden,Donovan Richards,Eric Ulrich,Stephen Levin,Antonio Reynoso,Laurie Cumbo,Robert Cornegy,Rafael Espinal,Carlos Menchaca,Brad Lander ,Mathieu Eugene,Alicka Ampry-Samuel,Inez Barron,Justin Brannan,Kalman Yeger,Jumaane Williams ,Alan Maisel,	Mark Treyger,Chaim Deutsch,Debi Rose,	Steven Matteo,Joe Borelli
2019,Margaret S. Chin,Carlina Rivera,Corey Johnson,Keith Powers,Benjamin Kallos,Helen Rosenthal,Mark D. Levine,Diana Ayala,Bill Perkins,Ydanis Rodriguez ,Andrew Cohen,Andy King,Mark Gjonaj,Fernando Cabrera,Ritchie Torres,Vanessa Gibson,Rafael Salamanca,Rubén Díaz Sr.,Paul Vallone,Peter Koo,Francisco Moya,Costa Constantinides,Barry Grodenchik,Rory Lancman,Daniel Dromm ,Jimmy Van Bramer,Daneek Miller,Adrienne Adams,Karen Koslowitz,Robert Holden,Donovan Richards,Eric Ulrich,Stephen Levin,Antonio Reynoso,Laurie Cumbo,Robert Cornegy,Rafael Espinal,Carlos Menchaca,Brad Lander ,Mathieu Eugene,Alicka Ampry-Samuel,Inez Barron,Justin Brannan,Kalman Yeger,SPLIT,Alan Maisel,	Mark Treyger,Chaim Deutsch,Debi Rose,	Steven Matteo,Joe Borelli
2020,Margaret S. Chin,Carlina Rivera,Corey Johnson,Keith Powers,Benjamin Kallos,Helen Rosenthal,Mark D. Levine,Diana Ayala,Bill Perkins,Ydanis Rodriguez ,Andrew Cohen,SPLIT,Mark Gjonaj,Fernando Cabrera,Ritchie Torres,Vanessa Gibson,Rafael Salamanca,Rubén Díaz Sr.,Paul Vallone,Peter Koo,Francisco Moya,Costa Constantinides,Barry Grodenchik,SPLIT,Daniel Dromm ,Jimmy Van Bramer,Daneek Miller,Adrienne Adams,Karen Koslowitz,Robert Holden,SPLIT,Eric Ulrich,Stephen Levin,Antonio Reynoso,Laurie Cumbo,Robert Cornegy,SPLIT,Carlos Menchaca,Brad Lander ,Mathieu Eugene,Alicka Ampry-Samuel,Inez Barron,Justin Brannan,Kalman Yeger,Farah N. Louis,Alan Maisel,	Mark Treyger,Chaim Deutsch,Debi Rose,	Steven Matteo,Joe Borelli
2021,Margaret S. Chin,Carlina Rivera,Corey Johnson,Keith Powers,Benjamin Kallos,Helen Rosenthal,Mark D. Levine,Diana Ayala,Bill Perkins,Ydanis Rodriguez ,Eric Dinowitz,Kevin Riley,Mark Gjonaj,Fernando Cabrera,Oswald Feliz,Vanessa Gibson,Rafael Salamanca,Rubén Díaz Sr.,Paul Vallone,Peter Koo,Francisco Moya,SPLIT,Barry Grodenchik,James F. Gennaro,Daniel Dromm ,Jimmy Van Bramer,Daneek Miller,Adrienne Adams,Karen Koslowitz,Robert Holden,Selvena N. Brooks-Powers,Eric Ulrich,Stephen Levin,Antonio Reynoso,Laurie Cumbo,Robert Cornegy,Darma V. Diaz,Carlos Menchaca,Brad Lander ,Mathieu Eugene,Alicka Ampry-Samuel,Inez Barron,Justin Brannan,Kalman Yeger,Farah N. Louis,Alan Maisel,	Mark Treyger,SPLIT,Debi Rose,	Steven Matteo,Joe Borelli